artist_id,name,type,album_name,gender,album_year,album_id,album_format,album_format_2
1,The Persuader,artist,Kaos,electronic,1997,20209,"10""",Vinyl
1,The Persuader,artist,Snorkelmannen Ø Hans Vänner,electronic,1997,62584,"12""",Vinyl
1,The Persuader,artist,Stockholm By Night,electronic,1997,321212,varios,undefined
1,The Persuader,artist,City Of Islands,electronic,1998,4242,varios,undefined
1,The Persuader,artist,Pleasure,electronic,1998,4250,varios,undefined
1,The Persuader,artist,Morgon Sol,electronic,1998,374577,varios,undefined
1,The Persuader,artist,A View From Slussen,electronic,1998,3506685,varios,undefined
1,The Persuader,artist,Stockholm,electronic,1999,24200,CD,CD
1,The Persuader,artist,Stockholm,electronic,1999,1660109,varios,undefined
1,The Persuader,artist,Central Bron,electronic,2001,2466976,varios,undefined
1,The Persuader,artist,Autumn Leaves EP,electronic,2013,863513,varios,undefined
1,The Persuader,artist,Fusion Of Thoughts,electronic,2013,637047,varios,undefined
1,The Persuader,artist,The Persuader EP1,electronic,2014,5516176,"12"", EP",Vinyl
1,The Persuader,artist,The Persuader EP2,electronic,2014,5841765,"12"", EP",Vinyl
1,The Persuader,artist,The Persuader EP3,electronic,2014,6146433,"12"", EP",Vinyl
1,The Persuader,artist,Skargard,electronic,2015,827783,varios,undefined
1,The Persuader,artist,Vårblommor,electronic,2015,926124,varios,undefined
1,The Persuader,artist,Himmel Röd,electronic,2016,8296032,"12""",Vinyl
1,The Persuader,artist,Arrival,electronic,2017,10392503,"12""",Vinyl
1,The Persuader,artist,Aftermath,electronic,2017,11334732,"12""",Vinyl
1,The Persuader,artist,Strange Idols 004,electronic,2017,12855756,"3xFile, MP3, EP",
1,The Persuader,artist,Cosmic Isolation EP,electronic,2019,13392912,"12"", EP, Ltd",Vinyl
1,The Persuader,artist,The Truth EP,electronic,2024,31709663,"12"", EP",Vinyl
1,The Persuader,artist,Live @ The Traxx,electronic,1997,12526186,"Cass, Mixed, Promo, C90",
1,The Persuader,artist,Loves You All Night And Day,electronic,1997,1157881,varios,undefined
1,The Persuader,artist,The Big Bang Theory,electronic,1997,169563,varios,undefined
1,The Persuader,artist,The Lords Of Svek Vol. 4,electronic,1998,5955,CD,CD
1,The Persuader,artist,That Smarts!,electronic,1998,31022215,"Cass, Mixed, Promo, C90",
1,The Persuader,artist,Diskophrenia Remixes,electronic,1998,1042102,varios,undefined
1,The Persuader,artist,Chill On Kaos Volume Two,electronic,2001,229135,CD,CD
